answerType,difficulty,answer,choices,question,question_uuid
2,2,Paris,,"What is the capital of France?",518039d5-400d-43fa-9285-97bb81359a0c
0,4,1776,[1775:1776:1781:1783],"In what year did the United States declare independence?",51a92bc3-cf95-47d2-902b-e3fd9c14e90b
0,5,5,[3:4:5:6],"How many sets are there in a tennis match in men's Grand Slam tournaments?",51ab23f9-5f61-4033-8263-0068bb84c6be
0,5,"Significant event of 1880","[Significant event of 1880:Another event of 1880:Random event of 1880:Unrelated event of 1880]","What significant event in American history happened in the year 1880?",526d9b6d-7faa-4555-9b1c-5b1f5aac5fcc
1,4,TRUE,,"The President has the power to veto laws passed by Congress.",54f8ea68-fe0a-4f27-af3d-9bf11f14f32c
0,2,"United States","[Russia:China:United States:Germany]","Which country has won the most Olympic gold medals in history?",5613f7c3-88af-43f7-a839-5b631c44589e
0,3,"Sunil Gavaskar","[Sachin Tendulkar:Sunil Gavaskar:Ricky Ponting:Brian Lara]","Who was the first cricketer to score 10,000 runs in Test cricket?",5a22c29b-bbfa-4d0e-a5b1-8b782b8cb301
0,3,IPv6,[IPv4:IPv6:IPX:AppleTalk],"What type of IP address is 2001:0db8:85a3:0000:0000:8a2e:0370:7334?",5bd444b1-dd58-4c90-97c1-99efbd859818
1,5,FALSE,,"The House of Representatives has 438 voting members.",5c754525-76e2-4d87-a919-a824c3acfc73
1,1,FALSE,,"The Super Bowl is the championship game of the NBA.",5cceee5e-f501-4b3b-b560-109055bc2158
0,3,FTP,[FTP:HTTP:SMTP:TCP],"Which protocol is used to transfer files over the internet?",60d9bc94-ce52-4bbc-8c9f-cca32a36d8fd
0,1,"United States","[Germany:United States:Brazil:Japan]","Which country has won the most FIFA Women's World Cup titles?",661567ff-7149-471d-a2df-6aa9b176f86a
0,5,Basketball,[Basketball:Volleyball:Tennis:Baseball],"In which sport would you perform a slam dunk?",672df136-ea85-4f67-9de1-a64ec0770295
2,1,Pacific,,"Which ocean is the largest by area?",68b9b911-3adf-4552-8814-a188625a17ee
2,1,Hawaii,,"Which state has the nickname 'The Aloha State'?",6905e501-a11e-4b64-81b3-30d1e9002e92
1,1,TRUE,,"The Tour de France is a cycling race.",6cfd210d-2e66-43a7-97b6-81b5ff84b582
0,2,Uruguay,[Argentina:Uruguay:Brazil:Italy],"Which country won the first ever FIFA World Cup in 1930?",6d0e12d0-95ea-41aa-8147-c1e5f31ef15b
0,5,England,"[Australia:New Zealand:England:India]","Which country won the Cricket World Cup in 2019?",715ec4e8-9651-40ac-bdb6-286687a4c191
2,4,Alaska,,"What is the largest state in the United States by area?",72d0a853-b90c-4fc4-87fd-86301a491ce1
2,1,"New York",,"Which state is known as the 'Empire State'?",74ef732b-5daf-47c8-a48a-a02716511db7
0,3,"100 meters","[10 meters:100 meters:500 meters:1000 meters]","What is the maximum length of a CAT5 cable segment?",78bb0579-f3a9-4045-813d-4298d0531278
2,4,Austin,,"What is the capital of Texas?",7a030839-104a-42fd-9bb6-a32da8a8d39e
2,3,Vatican,,"What is the smallest country in the world by area?",7b6d2fe9-851b-4516-a1a2-60e41f8af50f
0,4,"Stanley Cup","[Grey Cup:Stanley Cup:World Cup:Super Bowl Trophy]","What is the name of the trophy awarded to the NHL champions?",7d0865de-17ee-4950-ae4a-2c9da3835770
0,4,"Data Link","[Physical:Data Link:Network:Transport]","What layer of the OSI model does a switch operate at?",7ea9366c-8780-469c-b6ed-1bb757cc072e
1,3,FALSE,,"The Olympic Games are held every five years.",83e64621-9b48-4390-aa36-ca3879772a4f
0,1,Mayflower,"[Santa Maria:Mayflower:Pinta:Discovery]","What was the name of the ship the Pilgrims traveled on to America in 1620?",88a02867-a7c7-4887-bcea-c848e5201e84
0,3,"Marbury v. Madison","[Marbury v. Madison:McCulloch v. Maryland:Dred Scott v. Sandford:Plessy v. Ferguson]","Which landmark Supreme Court case established judicial review?",8ca90f08-9070-4c6f-a5d3-810de236526c
2,3,Japan,,"Which country is known as the Land of the Rising Sun?",966a63fd-7ec6-40c6-99f2-794e12f5679d
0,1,"Manhattan Project","[Trinity Project:Manhattan Project:Atomic Initiative:Nuclear Program]","What was the name of the U.S. project to develop an atomic bomb during World War II?",96cbc462-2cbd-49ca-a6cb-579d50954985
1,2,TRUE,,"Roger Federer has won more than 20 Grand Slam titles.",986cd811-5575-4c6a-bc50-f2aeec3c6470
2,4,China,,"Which country has the largest population in the world?",9bf270d4-f3a7-4cee-9520-4dde87350fa4
0,2,2003,[2000:2001:2002:2003],"In which year did Roger Federer win his first Wimbledon title?",9fd61392-78ed-4ee3-a9ab-5d123c685c00
0,5,192.168.1.1,[8.8.8.8:192.168.1.1:172.64.2.1:203.0.113.1],"Which of the following is a private IP address?",9fd867b5-301f-4bd6-a59a-47f702007f46
0,5,1917,[1914:1916:1917:1918],"What year did the United States enter World War I?",a199b57c-ad95-4786-a294-f447a131e324
0,1,Star,[Bus:Ring:Star:Mesh],"Which network topology has a central device to which all others connect?",a74d7052-f808-426f-99f0-5a2ad14cfbf8
1,2,TRUE,,"The U.S. Congress is made up of the Senate and the House of Representatives.",a77149a0-0845-4f53-b099-766aca175fb4
2,3,Africa,,"Which continent is the Sahara Desert located on?",a7eeb2bd-290b-4e9a-9571-4ce0eb4a5bf2
0,3,"Thomas Jefferson","[George Washington:John Adams:Thomas Jefferson:James Madison]","Who was the president during the Louisiana Purchase?",ac4f6544-7925-4b80-bb36-6f705d369f98
0,5,80,[20:25:80:443],"Which port is used by HTTP?",b016b5b0-af84-4e84-8a5f-0009806f4a63
0,4,"Internet Protocol","[Internal Protocol:Internet Protocol:Interconnected Protocol:Interface Protocol]","What does 'IP' stand for?",b3cccc79-066e-4821-9560-cd8593df0ec7
0,1,France,[Spain:Italy:France:Germany],"Which country hosts the annual Tour de France cycling race?",b5e3dfab-1182-4468-a8c7-549e730e48c0
1,5,FALSE,,"Basketball was invented in Canada.",bbbaaf4e-540a-4041-b92d-f405fdbb2043
0,4,"To identify a device on a network","[To encrypt data:To route packets:To identify a device on a network:To monitor traffic]","What is the purpose of a MAC address?",bbd31f2c-8752-45d7-b1d4-1d85fd0c200a
1,2,TRUE,,"The Stanley Cup is awarded in the sport of ice hockey.",bf32e901-2bbc-41d4-91bf-0b64f2ecbd79
2,5,"Rhode Island",,"What is the smallest state in the United States by area?",c0cf7a9e-4f25-4cb6-b0d9-b6676b5f4af4
0,4,90,[80:85:90:95],"How many minutes are played in a standard football match?",c14cb9c3-47c7-43c3-ab1f-75513ef7534d
0,3,"Thomas Jefferson","[George Washington:Thomas Jefferson:John Adams:Benjamin Franklin]","Who was the author of the Declaration of Independence?",c37345b3-5ce1-46ad-8411-2e25efd3cc8d
2,3,Springfield,,"What is the capital of Illinois?",c4ad5824-f662-4304-a45f-405b7771e485
0,3,147,[147:155:167:170],"What is the highest possible break in snooker?",c5b329fb-6f96-4c77-bcf2-4c74138a83f7
2,3,Nile,,"What is the longest river in the world?",cd3f4467-0fad-4255-9ff2-be3b4ff7488a
1,3,TRUE,,"The United States Senate has 100 members.",d12e3cde-cdf4-4ba5-beef-488d00e65109
0,1,"13th Amendment","[10th Amendment:12th Amendment:13th Amendment:15th Amendment]","Which amendment abolished slavery in the United States?",d3298544-f71b-4b19-a32b-ab3e134a905b
0,4,"Barry Bonds","[Babe Ruth:Hank Aaron:Barry Bonds:Alex Rodriguez]","Who holds the record for the most home runs in a single MLB season?",d4def925-531a-4f07-aa2c-d1dc11ed9a65
0,2,"Franklin D. Roosevelt","[Herbert Hoover:Franklin D. Roosevelt:Harry S. Truman:Dwight D. Eisenhower]","Who was President during the Great Depression and World War II?",d6fd2070-ccaf-45d2-82c4-e135c41775b9
0,5,"To assign IP addresses","[To route packets:To assign IP addresses:To encrypt data:To store files]","What is the role of a DHCP server?",d8a19b9b-08cd-4f75-90a0-3204fee0da04
0,2,1788,[1787:1788:1791:1800],"What year was the Constitution of the United States ratified?",dcbd0441-6fd9-4cfe-8e96-fca1246e1872
1,4,TRUE,,"The Supreme Court is the highest court in the United States.",dee710a9-084e-44e7-888d-401eb19b433e
1,1,FALSE,,"The U.S. government made a significant decision in the year 1945.",dfdc66c5-0c81-413e-9dd9-674bf15f2848
0,2,"Alexander Hamilton","[James Madison:Alexander Hamilton:John Jay:George Washington]","Who was the main author of the Federalist Papers?",e17c5379-1ff4-43c5-80f8-ea704d255280
1,5,FALSE,,"The President can serve an unlimited number of terms.",e2a5ca84-747f-4216-b7b8-04bee4e2134f
0,1,"To filter network traffic","[To store data:To filter network traffic:To enhance speed:To connect devices]","What is the primary purpose of a firewall?",e887c31b-6e54-4f71-94cb-f99446510c61
1,2,TRUE,,"The President of the United States serves a four-year term.",ed042316-9165-4e56-a6da-d9b3d29464cf
0,2,"Muhammad Ali","[Mike Tyson:Floyd Mayweather:Muhammad Ali:George Foreman]","Which boxer was known as 'The Greatest' and 'The People's Champion'?",f25859a2-84fb-4e32-a462-d3253aea8fb4
2,2,Georgia,,"Which state is known as the 'Peach State'?",f696e6eb-9fed-4942-973f-31608db2be83
0,4,"Abraham Lincoln","[George Washington:Abraham Lincoln:Ulysses S. Grant:Andrew Johnson]","Who gave the Gettysburg Address?",fb549708-aec2-4969-8e49-1b86078692fc
0,3,"Local Area Network","[Large Area Network:Local Area Network:Logical Area Network:Limited Area Network]","What does 'LAN' stand for?",fb6196e0-d4a9-46fd-9098-9e14a094c16d
